view,method,family,n,covered,recall
official_frozen_v1,hard_amount3,cloud,89,75,0.8426966292134831
official_frozen_v1,hard_amount3,gym,121,92,0.7603305785123967
official_frozen_v1,hard_amount3,insurance,99,74,0.7474747474747475
official_frozen_v1,hard_amount3,mobile,104,82,0.7884615384615384
official_frozen_v1,hard_amount3,music,93,66,0.7096774193548387
official_frozen_v1,hard_amount3,software,104,76,0.7307692307692307
official_frozen_v1,hard_amount3,streaming,97,65,0.6701030927835051
official_frozen_v1,soft_amount3,cloud,89,75,0.8426966292134831
official_frozen_v1,soft_amount3,gym,121,94,0.7768595041322314
official_frozen_v1,soft_amount3,insurance,99,77,0.7777777777777778
official_frozen_v1,soft_amount3,mobile,104,87,0.8365384615384616
official_frozen_v1,soft_amount3,music,93,73,0.7849462365591398
official_frozen_v1,soft_amount3,software,104,83,0.7980769230769231
official_frozen_v1,soft_amount3,streaming,97,78,0.8041237113402062
official_frozen_v1,soft_amount2,cloud,89,81,0.9101123595505618
official_frozen_v1,soft_amount2,gym,121,110,0.9090909090909091
official_frozen_v1,soft_amount2,insurance,99,95,0.9595959595959596
official_frozen_v1,soft_amount2,mobile,104,96,0.9230769230769231
official_frozen_v1,soft_amount2,music,93,81,0.8709677419354839
official_frozen_v1,soft_amount2,software,104,95,0.9134615384615384
official_frozen_v1,soft_amount2,streaming,97,85,0.8762886597938144
official_frozen_v1,broad2,cloud,89,84,0.9438202247191011
official_frozen_v1,broad2,gym,121,106,0.8760330578512396
official_frozen_v1,broad2,insurance,99,89,0.898989898989899
official_frozen_v1,broad2,mobile,104,90,0.8653846153846154
official_frozen_v1,broad2,music,93,75,0.8064516129032258
official_frozen_v1,broad2,software,104,91,0.875
official_frozen_v1,broad2,streaming,97,83,0.8556701030927835
official_frozen_v1,single_plausible,cloud,89,87,0.9775280898876404
official_frozen_v1,single_plausible,gym,121,117,0.9669421487603306
official_frozen_v1,single_plausible,insurance,99,94,0.9494949494949495
official_frozen_v1,single_plausible,mobile,104,99,0.9519230769230769
official_frozen_v1,single_plausible,music,93,91,0.978494623655914
official_frozen_v1,single_plausible,software,104,100,0.9615384615384616
official_frozen_v1,single_plausible,streaming,97,96,0.9896907216494846
official_frozen_v1,combined3_broad,cloud,89,84,0.9438202247191011
official_frozen_v1,combined3_broad,gym,121,107,0.8842975206611571
official_frozen_v1,combined3_broad,insurance,99,91,0.9191919191919192
official_frozen_v1,combined3_broad,mobile,104,92,0.8846153846153846
official_frozen_v1,combined3_broad,music,93,76,0.8172043010752689
official_frozen_v1,combined3_broad,software,104,94,0.9038461538461539
official_frozen_v1,combined3_broad,streaming,97,85,0.8762886597938144
official_frozen_v1,combined2_broad_single,cloud,89,87,0.9775280898876404
official_frozen_v1,combined2_broad_single,gym,121,118,0.9752066115702479
official_frozen_v1,combined2_broad_single,insurance,99,96,0.9696969696969697
official_frozen_v1,combined2_broad_single,mobile,104,101,0.9711538461538461
official_frozen_v1,combined2_broad_single,music,93,91,0.978494623655914
official_frozen_v1,combined2_broad_single,software,104,102,0.9807692307692307
official_frozen_v1,combined2_broad_single,streaming,97,96,0.9896907216494846
original,hard_amount3,cloud,190,148,0.7789473684210526
original,hard_amount3,gym,190,150,0.7894736842105263
original,hard_amount3,insurance,214,162,0.7570093457943925
original,hard_amount3,mobile,191,152,0.7958115183246073
original,hard_amount3,music,198,153,0.7727272727272727
original,hard_amount3,software,195,150,0.7692307692307693
original,hard_amount3,streaming,225,171,0.76
original,soft_amount3,cloud,190,148,0.7789473684210526
original,soft_amount3,gym,190,150,0.7894736842105263
original,soft_amount3,insurance,214,165,0.7710280373831776
original,soft_amount3,mobile,191,155,0.8115183246073299
original,soft_amount3,music,198,158,0.797979797979798
original,soft_amount3,software,195,150,0.7692307692307693
original,soft_amount3,streaming,225,180,0.8
original,soft_amount2,cloud,190,158,0.8315789473684211
original,soft_amount2,gym,190,158,0.8315789473684211
original,soft_amount2,insurance,214,183,0.8551401869158879
original,soft_amount2,mobile,191,164,0.8586387434554974
original,soft_amount2,music,198,172,0.8686868686868687
original,soft_amount2,software,195,168,0.8615384615384616
original,soft_amount2,streaming,225,196,0.8711111111111111
original,broad2,cloud,190,158,0.8315789473684211
original,broad2,gym,190,159,0.8368421052631579
original,broad2,insurance,214,184,0.8598130841121495
original,broad2,mobile,191,164,0.8586387434554974
original,broad2,music,198,173,0.8737373737373737
original,broad2,software,195,165,0.8461538461538461
original,broad2,streaming,225,197,0.8755555555555555
original,single_plausible,cloud,190,180,0.9473684210526315
original,single_plausible,gym,190,176,0.9263157894736842
original,single_plausible,insurance,214,202,0.9439252336448598
original,single_plausible,mobile,191,184,0.9633507853403142
original,single_plausible,music,198,192,0.9696969696969697
original,single_plausible,software,195,187,0.958974358974359
original,single_plausible,streaming,225,222,0.9866666666666667
original,combined3_broad,cloud,190,158,0.8315789473684211
original,combined3_broad,gym,190,159,0.8368421052631579
original,combined3_broad,insurance,214,184,0.8598130841121495
original,combined3_broad,mobile,191,164,0.8586387434554974
original,combined3_broad,music,198,174,0.8787878787878788
original,combined3_broad,software,195,166,0.8512820512820513
original,combined3_broad,streaming,225,197,0.8755555555555555
original,combined2_broad_single,cloud,190,180,0.9473684210526315
original,combined2_broad_single,gym,190,176,0.9263157894736842
original,combined2_broad_single,insurance,214,202,0.9439252336448598
original,combined2_broad_single,mobile,191,184,0.9633507853403142
original,combined2_broad_single,music,198,192,0.9696969696969697
original,combined2_broad_single,software,195,187,0.958974358974359
original,combined2_broad_single,streaming,225,222,0.9866666666666667
valid_like,hard_amount3,cloud,190,148,0.7789473684210526
valid_like,hard_amount3,gym,190,149,0.7842105263157895
valid_like,hard_amount3,insurance,214,164,0.7663551401869159
valid_like,hard_amount3,mobile,191,153,0.8010471204188482
valid_like,hard_amount3,music,198,154,0.7777777777777778
valid_like,hard_amount3,software,195,150,0.7692307692307693
valid_like,hard_amount3,streaming,225,166,0.7377777777777778
valid_like,soft_amount3,cloud,190,148,0.7789473684210526
valid_like,soft_amount3,gym,190,151,0.7947368421052632
valid_like,soft_amount3,insurance,214,166,0.7757009345794392
valid_like,soft_amount3,mobile,191,155,0.8115183246073299
valid_like,soft_amount3,music,198,159,0.803030303030303
valid_like,soft_amount3,software,195,150,0.7692307692307693
valid_like,soft_amount3,streaming,225,181,0.8044444444444444
valid_like,soft_amount2,cloud,190,158,0.8315789473684211
valid_like,soft_amount2,gym,190,158,0.8315789473684211
valid_like,soft_amount2,insurance,214,183,0.8551401869158879
valid_like,soft_amount2,mobile,191,165,0.8638743455497382
valid_like,soft_amount2,music,198,171,0.8636363636363636
valid_like,soft_amount2,software,195,169,0.8666666666666667
valid_like,soft_amount2,streaming,225,196,0.8711111111111111
valid_like,broad2,cloud,190,160,0.8421052631578947
valid_like,broad2,gym,190,163,0.8578947368421053
valid_like,broad2,insurance,214,184,0.8598130841121495
valid_like,broad2,mobile,191,164,0.8586387434554974
valid_like,broad2,music,198,176,0.8888888888888888
valid_like,broad2,software,195,167,0.8564102564102564
valid_like,broad2,streaming,225,201,0.8933333333333333
valid_like,single_plausible,cloud,190,180,0.9473684210526315
valid_like,single_plausible,gym,190,179,0.9421052631578948
valid_like,single_plausible,insurance,214,202,0.9439252336448598
valid_like,single_plausible,mobile,191,181,0.9476439790575916
valid_like,single_plausible,music,198,191,0.9646464646464646
valid_like,single_plausible,software,195,188,0.9641025641025641
valid_like,single_plausible,streaming,225,221,0.9822222222222222
valid_like,combined3_broad,cloud,190,160,0.8421052631578947
valid_like,combined3_broad,gym,190,163,0.8578947368421053
valid_like,combined3_broad,insurance,214,185,0.8644859813084113
valid_like,combined3_broad,mobile,191,166,0.8691099476439791
valid_like,combined3_broad,music,198,177,0.8939393939393939
valid_like,combined3_broad,software,195,167,0.8564102564102564
valid_like,combined3_broad,streaming,225,201,0.8933333333333333
valid_like,combined2_broad_single,cloud,190,180,0.9473684210526315
valid_like,combined2_broad_single,gym,190,179,0.9421052631578948
valid_like,combined2_broad_single,insurance,214,202,0.9439252336448598
valid_like,combined2_broad_single,mobile,191,181,0.9476439790575916
valid_like,combined2_broad_single,music,198,191,0.9646464646464646
valid_like,combined2_broad_single,software,195,188,0.9641025641025641
valid_like,combined2_broad_single,streaming,225,222,0.9866666666666667
test_like,hard_amount3,cloud,190,148,0.7789473684210526
test_like,hard_amount3,gym,190,149,0.7842105263157895
test_like,hard_amount3,insurance,214,164,0.7663551401869159
test_like,hard_amount3,mobile,191,149,0.7801047120418848
test_like,hard_amount3,music,198,151,0.7626262626262627
test_like,hard_amount3,software,195,150,0.7692307692307693
test_like,hard_amount3,streaming,225,158,0.7022222222222222
test_like,soft_amount3,cloud,190,148,0.7789473684210526
test_like,soft_amount3,gym,190,153,0.8052631578947368
test_like,soft_amount3,insurance,214,167,0.780373831775701
test_like,soft_amount3,mobile,191,155,0.8115183246073299
test_like,soft_amount3,music,198,159,0.803030303030303
test_like,soft_amount3,software,195,154,0.7897435897435897
test_like,soft_amount3,streaming,225,181,0.8044444444444444
test_like,soft_amount2,cloud,190,159,0.8368421052631579
test_like,soft_amount2,gym,190,161,0.8473684210526315
test_like,soft_amount2,insurance,214,190,0.8878504672897196
test_like,soft_amount2,mobile,191,163,0.8534031413612565
test_like,soft_amount2,music,198,174,0.8787878787878788
test_like,soft_amount2,software,195,172,0.882051282051282
test_like,soft_amount2,streaming,225,198,0.88
test_like,broad2,cloud,190,164,0.8631578947368421
test_like,broad2,gym,190,162,0.8526315789473684
test_like,broad2,insurance,214,187,0.8738317757009346
test_like,broad2,mobile,191,160,0.837696335078534
test_like,broad2,music,198,172,0.8686868686868687
test_like,broad2,software,195,170,0.8717948717948718
test_like,broad2,streaming,225,200,0.8888888888888888
test_like,single_plausible,cloud,190,177,0.9315789473684211
test_like,single_plausible,gym,190,176,0.9263157894736842
test_like,single_plausible,insurance,214,205,0.9579439252336449
test_like,single_plausible,mobile,191,179,0.93717277486911
test_like,single_plausible,music,198,190,0.9595959595959596
test_like,single_plausible,software,195,187,0.958974358974359
test_like,single_plausible,streaming,225,221,0.9822222222222222
test_like,combined3_broad,cloud,190,164,0.8631578947368421
test_like,combined3_broad,gym,190,162,0.8526315789473684
test_like,combined3_broad,insurance,214,188,0.8785046728971962
test_like,combined3_broad,mobile,191,164,0.8586387434554974
test_like,combined3_broad,music,198,173,0.8737373737373737
test_like,combined3_broad,software,195,171,0.8769230769230769
test_like,combined3_broad,streaming,225,201,0.8933333333333333
test_like,combined2_broad_single,cloud,190,179,0.9421052631578948
test_like,combined2_broad_single,gym,190,177,0.9315789473684211
test_like,combined2_broad_single,insurance,214,207,0.9672897196261683
test_like,combined2_broad_single,mobile,191,180,0.9424083769633508
test_like,combined2_broad_single,music,198,190,0.9595959595959596
