view,cohort,n,v1_accuracy,v2_accuracy,rescued,lost
original,C1_3plus,1106,0.7703435804701627,0.7784810126582279,17,8
original,C2_only2,93,0.44086021505376344,0.5053763440860215,6,0
original,C3_single_only,144,0.027777777777777776,0.25,33,1
original,no_plausible_proxy,60,0.0,0.0,0,0
original,C4_V1_present_wrong_family,243,0.0,0.06995884773662552,17,0
original,C5_V1_family_to_none,97,0.0,0.2268041237113402,22,0
original,C6_V1_none_to_family,122,0.0,0.04918032786885246,6,0
original,C7_music_software_streaming,618,0.6407766990291263,0.6666666666666666,22,6
original,true_none,597,0.7956448911222781,0.7956448911222781,6,6
valid_like,C1_3plus,1110,0.7450450450450451,0.7405405405405405,9,14
valid_like,C2_only2,90,0.3,0.35555555555555557,5,0
valid_like,C3_single_only,142,0.028169014084507043,0.15492957746478872,18,0
valid_like,no_plausible_proxy,61,0.0,0.0,0,0
valid_like,C4_V1_present_wrong_family,240,0.0,0.03333333333333333,8,0
valid_like,C5_V1_family_to_none,144,0.0,0.10416666666666667,15,0
valid_like,C6_V1_none_to_family,117,0.0,0.05128205128205128,6,0
valid_like,C7_music_software_streaming,618,0.580906148867314,0.5938511326860841,15,7
valid_like,true_none,597,0.8040201005025126,0.8073701842546064,6,4
test_like,C1_3plus,1117,0.7045658012533572,0.7054610564010743,18,17
test_like,C2_only2,100,0.2,0.25,7,2
test_like,C3_single_only,122,0.0,0.08196721311475409,10,0
test_like,no_plausible_proxy,64,0.0,0.0,0,0
test_like,C4_V1_present_wrong_family,245,0.0,0.05714285714285714,14,0
test_like,C5_V1_family_to_none,194,0.0,0.06701030927835051,13,0
test_like,C6_V1_none_to_family,109,0.0,0.06422018348623854,7,0
test_like,C7_music_software_streaming,618,0.5226537216828478,0.5307443365695793,15,10
test_like,true_none,597,0.8174204355108877,0.8174204355108877,7,7
