view,family,min_count,n,covered,recall,combined_v1_recall
original,cloud,2,190,158,0.8315789473684211,0.8315789473684211
original,cloud,3,190,152,0.8,0.8
original,gym,2,190,158,0.8315789473684211,0.8315789473684211
original,gym,3,190,156,0.8210526315789474,0.8210526315789474
original,insurance,2,214,184,0.8598130841121495,0.8598130841121495
original,insurance,3,214,167,0.780373831775701,0.7897196261682243
original,mobile,2,191,165,0.8638743455497382,0.8638743455497382
original,mobile,3,191,157,0.8219895287958116,0.8272251308900523
original,music,2,198,171,0.8636363636363636,0.8737373737373737
original,music,3,198,158,0.797979797979798,0.8080808080808081
original,software,2,195,165,0.8461538461538461,0.8461538461538461
original,software,3,195,156,0.8,0.8
original,streaming,2,225,196,0.8711111111111111,0.8711111111111111
original,streaming,3,225,184,0.8177777777777778,0.8177777777777778
valid_like,cloud,2,190,158,0.8315789473684211,0.8315789473684211
valid_like,cloud,3,190,152,0.8,0.8
valid_like,gym,2,190,159,0.8368421052631579,0.8368421052631579
valid_like,gym,3,190,156,0.8210526315789474,0.8210526315789474
valid_like,insurance,2,214,184,0.8598130841121495,0.8598130841121495
valid_like,insurance,3,214,167,0.780373831775701,0.794392523364486
valid_like,mobile,2,191,164,0.8586387434554974,0.8638743455497382
valid_like,mobile,3,191,155,0.8115183246073299,0.8219895287958116
valid_like,music,2,198,172,0.8686868686868687,0.8737373737373737
valid_like,music,3,198,160,0.8080808080808081,0.8131313131313131
valid_like,software,2,195,165,0.8461538461538461,0.8461538461538461
valid_like,software,3,195,157,0.8051282051282052,0.8051282051282052
valid_like,streaming,2,225,196,0.8711111111111111,0.8711111111111111
valid_like,streaming,3,225,184,0.8177777777777778,0.8177777777777778
test_like,cloud,2,190,157,0.8263157894736842,0.8263157894736842
test_like,cloud,3,190,151,0.7947368421052632,0.7947368421052632
test_like,gym,2,190,158,0.8315789473684211,0.8315789473684211
test_like,gym,3,190,157,0.8263157894736842,0.8263157894736842
test_like,insurance,2,214,185,0.8644859813084113,0.8644859813084113
test_like,insurance,3,214,167,0.780373831775701,0.7990654205607477
test_like,mobile,2,191,162,0.8481675392670157,0.8534031413612565
test_like,mobile,3,191,155,0.8115183246073299,0.8272251308900523
test_like,music,2,198,174,0.8787878787878788,0.8787878787878788
test_like,music,3,198,162,0.8181818181818182,0.8181818181818182
test_like,software,2,195,169,0.8666666666666667,0.8666666666666667
test_like,software,3,195,163,0.8358974358974359,0.8358974358974359
test_like,streaming,2,225,197,0.8755555555555555,0.8755555555555555
test_like,streaming,3,225,185,0.8222222222222222,0.8222222222222222
