view,family,v1_f1,v2_f1
original,cloud,0.6031746031746031,0.6194225721784777
original,gym,0.6041666666666666,0.6356589147286822
original,insurance,0.6930232558139535,0.7159353348729792
original,mobile,0.6421052631578947,0.6886075949367089
original,music,0.6206896551724138,0.631578947368421
original,software,0.6388206388206388,0.6699029126213593
original,streaming,0.6278026905829597,0.6636771300448431
original,none,0.8126603934987169,0.8282476024411508
valid_like,cloud,0.6068601583113457,0.6068601583113457
valid_like,gym,0.6118251928020566,0.6256410256410256
valid_like,insurance,0.7066974595842956,0.6954545454545454
valid_like,mobile,0.6037735849056604,0.6312997347480106
valid_like,music,0.5633074935400517,0.5803108808290155
valid_like,software,0.6192893401015228,0.63
valid_like,streaming,0.6009389671361502,0.6099290780141844
valid_like,none,0.7862407862407862,0.8
test_like,cloud,0.5873015873015873,0.6174142480211082
test_like,gym,0.609375,0.6302083333333334
test_like,insurance,0.6790697674418604,0.6744186046511628
test_like,mobile,0.6010928961748634,0.6054054054054054
test_like,music,0.5257452574525745,0.5415549597855228
test_like,software,0.5826771653543307,0.5863874345549738
test_like,streaming,0.5569007263922519,0.5542168674698795
test_like,none,0.763096168881939,0.7703235990528808
